"LENGTH","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
6.3,2.1838182,3.9081338,10.9884253,11.7287878,7.3786433,6.7921652,7.0754038,0.8603072,7.5053957,4.1260372,6.5622904,6.8957804,2.7767986,4.1505375,2.8975627
6.4,1.503288,9.373507,10.31251,8.046516,10.270252,10.243439,6.803601,1.180529,10.04541,6.25608,4.970619,14.616943,2.381264,2.529565,8.173194
6.5,3.9801698,4.6453965,4.5206715,4.2109399,3.5058586,9.4543056,7.3753891,0.6272318,8.9240976,1.5154274,3.1022383,8.1529844,1.2920198,0.7181564,2.334512
6.6,2.375945,4.942042,7.187976,3.184919,7.01663,3.375142,4.338043,1.615131,11.335859,1.424362,3.331204,3.834232,2.670443,2.459512,3.454696
6.7,NA,3.828581,2.4711501,5.3622614,1.8790426,1.714905,5.9946643,0.836711,5.9049076,1.4512665,2.597952,2.722203,2.4205189,0.8884232,1.5362721
6.8,NA,1.5670112,5.3517347,6.0010279,1.532079,2.413472,4.1661016,0.2185251,7.9694605,0.3937191,4.3187518,2.448225,3.0200173,1.3415519,0.7646456
6.9,0.3101057,2.6879575,2.9004046,2.1346137,2.1742471,1.768291,3.5938133,0.7451477,4.4398174,0.6983767,0.4680844,2.5791139,1.1924575,NA,0.8549716
7,0.6486688,6.0156315,2.3713396,4.1580178,2.6844768,3.8984516,4.6141701,0.4809285,3.7784055,1.2675917,0.4386775,1.5759174,2.5163643,0.8943679,0.9250864
7.1,NA,2.3666846,2.3396133,3.9581862,1.0568169,0.9754799,2.8659686,0.5020859,2.3151122,0.3942433,0.1470345,0.3626614,1.1924575,NA,0.8028779
7.2,NA,1.9429026,1.8695319,4.0039784,1.322657,2.879055,3.9525145,0.251043,3.1685519,0.9474622,0.2646621,0.9344082,2.5481193,0.2206196,0.7231602
7.3,0.3101057,0.5925028,1.0376972,0.7505403,0.9109913,2.157059,1.874295,NA,1.021043,0.2240869,0.3329206,0.976883,0.625097,NA,0.7646456
7.4,NA,0.338573,0.8060023,0.5420763,0.635798,2.696506,1.1166731,NA,1.4227794,0.6581385,0.4116967,1.2239932,0.7305648,NA,1.105483
7.5,NA,0.4916431,0.4852793,0.4336611,0.3383153,1.027186,1.1449147,NA,0.6662821,0.6815132,2.1330736,0.4592595,0.4896132,NA,0.3823228
7.6,NA,0.3591067,0.24569659,0.2168305,0.24405107,0.3423955,1.3577434,NA,1.08261118,0.2180684,NA,0.05474173,0.04773123,NA,NA
7.7,NA,NA,0.24569659,0.4336611,0.09751433,0.3423955,0.8070784,NA,1.28543524,0.08811886,0.14703452,0.23345613,0.3941507,NA,NA
7.8,NA,NA,NA,NA,0.240801,0.6847909,NA,NA,0.101412,NA,NA,0.5311889,NA,NA,NA
7.9,NA,NA,0.07730225,NA,0.09751433,0.6847909,0.2690261,NA,0.2544782,0.08811886,NA,NA,0.04773123,NA,NA
8,NA,NA,NA,NA,NA,0.3423955,NA,NA,0.4056481,NA,NA,0.2334561,NA,NA,NA
8.1,NA,NA,NA,NA,NA,NA,0.2690261,NA,0.10141203,0.08811886,NA,NA,NA,NA,NA
8.2,NA,NA,0.07730225,NA,NA,NA,0.2690261,NA,0.40564811,0.08811886,NA,NA,NA,NA,NA
8.3,NA,NA,NA,NA,NA,NA,NA,NA,0.101412,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,169.3499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,234.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,149.0302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,355.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,258.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,314.2657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,252.7697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,196.6956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,204.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,207.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,159.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,283.0726,NA,NA,NA,NA,NA,NA,NA,70.6519,NA,NA,NA
41,NA,NA,NA,168.8325,NA,NA,NA,NA,NA,NA,NA,63.76603,NA,NA,NA
42,NA,NA,NA,191.4225,NA,NA,NA,NA,NA,NA,NA,86.8794,NA,NA,NA
43,NA,NA,NA,131.63122,NA,NA,NA,NA,NA,NA,NA,80.06608,NA,NA,NA
44,NA,NA,NA,75.20679,NA,NA,NA,NA,NA,NA,NA,42.91918,NA,NA,NA
45,NA,NA,NA,66.47695,NA,NA,NA,NA,NA,NA,NA,22.17912,NA,NA,NA
46,NA,NA,NA,38.26362,NA,NA,NA,NA,NA,NA,NA,10.13509,NA,NA,NA
47,NA,NA,NA,23.777,NA,NA,NA,NA,NA,NA,NA,14.96537,NA,NA,NA
48,NA,NA,NA,28.756892,NA,NA,NA,NA,NA,NA,NA,9.204258,NA,NA,NA
49,NA,NA,NA,18.673043,NA,NA,NA,NA,NA,NA,NA,7.222643,NA,NA,NA
50,NA,NA,NA,24.71777,NA,NA,NA,NA,NA,NA,NA,2.220996,NA,NA,NA
51,NA,NA,NA,14.005647,NA,NA,NA,NA,NA,NA,NA,6.558638,NA,NA,NA
52,NA,NA,NA,21.776264,NA,NA,NA,NA,NA,NA,NA,4.328966,NA,NA,NA
53,NA,NA,NA,13.475481,NA,NA,NA,NA,NA,NA,NA,4.579178,NA,NA,NA
54,NA,NA,NA,14.933444,NA,NA,NA,NA,NA,NA,NA,4.347821,NA,NA,NA
55,NA,NA,NA,10.152114,NA,NA,NA,NA,NA,NA,NA,6.087899,NA,NA,NA
56,NA,NA,NA,7.522416,NA,NA,NA,NA,NA,NA,NA,1.734245,NA,NA,NA
57,NA,NA,NA,3.863481,NA,NA,NA,NA,NA,NA,NA,1.814907,NA,NA,NA
58,NA,NA,NA,0.8779955,NA,NA,NA,NA,NA,NA,NA,4.2362301,NA,NA,NA
59,NA,NA,NA,0.478824,NA,NA,NA,NA,NA,NA,NA,3.23052,NA,NA,NA
60,NA,NA,NA,0.2328576,NA,NA,NA,NA,NA,NA,NA,1.6521363,NA,NA,NA
61,NA,NA,NA,0.07130019,NA,NA,NA,NA,NA,NA,NA,1.63576491,NA,NA,NA
62,NA,NA,NA,0.3510644,NA,NA,NA,NA,NA,NA,NA,0.3501842,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.932826,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3930324,NA,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3930324,NA,NA,NA
