Length,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
49.5,49.506222,70.1809829,83.55150328,60.3291584,58.36885824,48.82111622,40.77776431,38.11426672,34.29086657,24.18377489,23.30006757,11.12088304,31.12308271,53.14120725,36.3681877
50.5,81.1579497,82.845708,102.8227708,94.7185348,82.19155529,64.77360183,28.21009227,41.61384926,35.87912849,19.68228883,25.16966332,9.91798597,18.62245652,59.00879215,25.0400682
51.5,43.1019229,67.3159903,72.82853844,65.7116613,40.76151153,37.85648187,30.17767456,36.85786627,26.69249458,16.62499804,19.66374488,14.14039627,16.5321181,36.58320906,31.947321
52.5,58.7929372,82.9127132,94.60503181,73.858162,65.0429819,42.3821526,37.1644803,48.40660234,28.55632426,31.69516945,29.51912441,21.84709083,31.37842914,47.13623153,64.0307831
53.5,21.3425071,37.5324113,70.49764752,56.8806561,30.60912831,21.04112448,21.64000011,21.34000769,23.61494964,13.41166111,16.06604114,9.194040203,21.16950259,18.06483689,24.8265159
54.5,31.218228,51.0832427,55.69786731,57.7738781,50.36616828,22.81266695,33.49065422,27.49590353,23.49691233,18.82323803,21.3323751,21.15984734,30.34431965,36.15746943,43.5149416
55.5,19.1994431,29.7165379,28.0854702,46.808798,25.90665792,11.63780523,14.69546006,9.860873541,20.2006958,11.66997641,13.72843958,12.52843536,14.34048604,15.68736855,23.7819442
56.5,25.004933,26.0288479,45.34013012,29.8136999,56.70535041,13.54212672,10.78755336,8.445640006,14.61356135,12.65239046,8.344662549,21.00786972,22.96585757,19.50136497,20.0502629
57.5,23.5560801,34.9922434,36.15240996,25.0509334,15.62225903,8.218104345,6.390266123,5.772500825,17.43114355,10.97247286,8.65859103,23.01670072,19.20981429,15.48355194,20.2748619
58.5,13.5341222,21.1530574,27.23328525,21.1600177,12.35592659,8.90956684,6.706793157,6.593135206,19.99801717,6.951989115,10.69598174,41.92859695,6.59211748,12.458079,9.8047069
59.5,9.9599164,14.0956234,16.42877593,13.322745,14.50613741,7.61054234,9.244832086,5.115366532,11.0459898,3.855070641,5.566252801,15.11957224,6.888675019,8.198985097,9.0519958
60.5,6.316628,13.4020132,23.88833629,16.6253406,23.59969497,11.49722829,5.804436875,2.688945616,9.08665644,7.336932625,5.040825593,10.64288728,4.096254892,10.44167749,6.9697557
61.5,12.5143256,9.5440688,11.02304477,8.6625838,10.67208983,7.861788635,7.510316195,4.240894993,7.802982999,4.19488466,4.567169822,5.752528542,8.372382418,7.433717639,4.2499582
62.5,6.695069,8.2448519,11.04596134,15.7461281,15.9913865,7.924300182,7.911062515,3.48438049,14.87047814,8.118548389,6.029091415,21.42397992,3.274357279,1.275441709,11.8410019
63.5,2.1838182,3.8572588,10.75777598,11.7287878,7.378643285,6.65227406,7.075403786,0.860307218,7.505395655,4.078219445,6.462278494,6.895780412,2.376937325,4.150537544,2.8975627
64.5,1.5032877,9.3735071,10.3125096,8.0465162,9.648564878,9.798357418,6.803600869,1.123594159,9.806653467,6.208262729,4.970619059,14.61694325,2.333532308,2.529565375,8.173194
65.5,3.9801698,4.6453965,4.52067152,4.2109399,3.408344221,9.154568382,7.375389145,0.627231831,8.924097596,1.515427442,3.102238338,8.152984394,1.292019803,0.718156406,2.334512
66.5,2.2525254,4.8406777,7.18797611,3.184919,7.016630165,3.229797932,4.338042463,1.615130594,11.33585888,1.424361514,3.331203814,3.834232029,2.670443359,2.459511688,3.4546956
67.5,0,3.828581,2.47115009,5.3622614,1.879042588,1.71490537,5.994664268,0.836711026,5.904907563,1.451266507,2.597952024,2.722203011,2.420518897,0.888423194,1.5362721
68.5,0,1.5670112,5.35173471,6.0010279,1.53207904,2.413471916,4.166101601,0.218525118,7.969460458,0.393719061,4.318751851,2.448224956,3.020017267,1.341551866,0.7646456
69.5,0.3101057,2.6879575,2.90040458,2.1346137,2.174247086,1.768291222,3.593813333,0.745147678,4.439817375,0.698376726,0.468084358,2.579113914,1.192457452,0,0.8549716
70.5,0.6486688,6.0156315,2.37133964,4.1580178,2.554815146,3.741082442,4.614170104,0.480928458,3.778405532,1.21974256,0.438677453,1.575917387,2.516364268,0.894367911,0.9250864
71.5,0,2.3666846,2.33961333,3.9581862,1.056816856,0.975479919,2.865968551,0.502085941,2.315112193,0.394243286,0.147034524,0.362661369,1.192457452,0,0.8028779
72.5,0,1.9429026,1.86953186,4.0039784,1.322656994,2.879054995,3.952514491,0.251042971,3.168551938,0.947462219,0.264662144,0.93440818,2.548119293,0.22061962,0.7231602
73.5,0.3101057,0.5925028,1.03769715,0.7505403,0.910991335,2.157059496,1.874295049,0,1.021043031,0.224086883,0.332920612,0.976883044,0.625097015,0,0.7646456
74.5,0,0.338573,0.80600233,0.5420763,0.635798037,2.696505959,1.116673059,0,1.422779434,0.658138453,0.411696668,1.223993244,0.730564826,0,1.105483
75.5,0,0.4916431,0.48527933,0.4336611,0.338315282,1.027186423,1.144914654,0,0.666282127,0.681513239,2.133073608,0.459259506,0.489613166,0,0.3823228
76.5,0,0.3591067,0.24569659,0.2168305,0.244051071,0.342395474,1.357743357,0,1.082611184,0.218068398,0,0.054741727,0.047731232,0,0
77.5,0,0,0.24569659,0.4336611,0.097514332,0.342395474,0.807078371,0,1.285435241,0.088118856,0.147034524,0.233456132,0.394150702,0,0
78.5,0,0,0,0,0.24080095,0.684790948,0,0,0.101412028,0,0,0.531188865,0,0,0
79.5,0,0,0.07730225,0,0.097514332,0.684790948,0.269026124,0,0.254478199,0.088118856,0,0,0.047731232,0,0
80.5,0,0,0,0,0,0.342395474,0,0,0.405648114,0,0,0.233456132,0,0,0
81.5,0,0,0,0,0,0,0.269026124,0,0.101412028,0.088118856,0,0,0,0,0
82.5,0,0,0.07730225,0,0,0,0.269026124,0,0.405648114,0.088118856,0,0,0,0,0
83.5,0,0,0,0,0,0,0,0,0.101412028,0,0,0,0,0,0
