Length,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
48.5,30.286034,11.97903456,24.39657919,28.75689187,36.92113794,17.21678354,11.30971094,8.228126919,19.90715997,7.364900464,11.72997169,9.204258466,4.65155631,7.496175042,5.2439709
49.5,17.638922,13.74950584,19.67789111,18.67304259,24.41400119,22.93017136,6.572852849,7.038636982,12.91657249,6.237291442,7.079857033,7.222643249,6.265883026,4.847382386,6.6008994
50.5,10.0693264,14.470241,25.9987261,24.71776958,20.25415372,21.51563896,7.245564652,3.002447918,12.77229894,7.500970107,6.658346935,2.220995818,5.945806436,4.519653546,4.2910646
51.5,7.3951611,9.53536912,22.03914525,14.00564692,12.8207704,15.70831798,10.78906956,5.461258853,11.03204918,2.925090313,5.647865703,6.55863776,5.730216151,1.445277027,3.3603226
52.5,10.0739221,6.00341429,18.70078391,21.77626373,12.83260817,15.92098491,6.643952451,2.634285879,7.258297538,3.238634045,3.66483399,4.328966287,8.880697856,5.470370839,3.8918419
53.5,3.0996241,5.74290501,9.87386631,13.47548093,7.865176734,9.079466697,1.585016313,0.629131174,8.225995636,2.508501816,1.930052638,4.57917834,5.111604456,0.579020138,2.7697807
54.5,3.233945,1.54250765,2.00890838,14.93344364,7.213913735,5.669252212,9.478220525,0.533093017,8.349941473,0.97024299,2.159867031,4.347820862,5.160886908,2.781063879,8.4986876
55.5,0.7698905,2.06530803,2.80216649,10.15211364,3.577632625,4.412752922,0.842491874,0.886381082,2.83091951,3.66823893,0.402197,6.087899313,1.722532507,0.884488789,2.7744329
56.5,1.5124012,1.39776842,2.4110367,7.52241552,6.245818616,2.159231449,1.18999155,0.113868983,2.557207567,0.356233755,0.128205746,1.734245181,0.728594655,1.221670834,6.2056817
57.5,0.7504051,0.10136463,1.64895166,3.86348136,1.997641272,2.958767686,0.538052248,0,1.136509431,0.400293183,0.261227774,1.814907029,3.146492791,2.263127131,1.7527581
58.5,0,1.35046058,0.90037485,0.87799549,1.707955736,0.39855548,0.52920478,0.113868983,1.050052448,0.628106984,0.197356917,4.23623009,1.790159236,0.441239239,0
